Level,Leniency,Density,PD,PV
weighted_w1_0.5_w2_0.5_level_0_generic_separated.json,0.1575,2.77,0.95,0.31
weighted_w1_0.5_w2_0.5_level_10_generic_separated.json,0.12,2.605,0.975,0.31
weighted_w1_0.5_w2_0.5_level_11_generic_separated.json,0.15,2.355,0.965,0.305
weighted_w1_0.5_w2_0.5_level_12_generic_separated.json,0.205,1.34,0.985,0.19
weighted_w1_0.5_w2_0.5_level_13_generic_separated.json,0.1325,1.86,0.96,0.26
weighted_w1_0.5_w2_0.5_level_14_generic_separated.json,0.1275,2.04,0.965,0.25
weighted_w1_0.5_w2_0.5_level_15_generic_separated.json,0.185,2.37,0.955,0.27
weighted_w1_0.5_w2_0.5_level_16_generic_separated.json,0.155,2.485,0.955,0.25
weighted_w1_0.5_w2_0.5_level_17_generic_separated.json,0.135,1.935,0.955,0.205
weighted_w1_0.5_w2_0.5_level_18_generic_separated.json,0.17,1.37,0.975,0.205
weighted_w1_0.5_w2_0.5_level_19_generic_separated.json,0.135,1.545,0.95,0.19
weighted_w1_0.5_w2_0.5_level_1_generic_separated.json,0.155,1.74,0.965,0.24
weighted_w1_0.5_w2_0.5_level_20_generic_separated.json,0.1325,2.155,0.975,0.295
weighted_w1_0.5_w2_0.5_level_21_generic_separated.json,0.14,2.46,0.97,0.235
weighted_w1_0.5_w2_0.5_level_22_generic_separated.json,0.115,2.015,0.94,0.255
weighted_w1_0.5_w2_0.5_level_23_generic_separated.json,0.195,1.825,0.97,0.255
weighted_w1_0.5_w2_0.5_level_24_generic_separated.json,0.115,2.83,0.96,0.285
weighted_w1_0.5_w2_0.5_level_25_generic_separated.json,0.16,1.84,0.97,0.19
weighted_w1_0.5_w2_0.5_level_26_generic_separated.json,0.13,2.375,0.955,0.27
weighted_w1_0.5_w2_0.5_level_27_generic_separated.json,0.135,2.45,0.955,0.25
weighted_w1_0.5_w2_0.5_level_28_generic_separated.json,0.0925,2.805,0.93,0.29
weighted_w1_0.5_w2_0.5_level_29_generic_separated.json,0.1517412935323383,1.7213930348258706,0.9601990049751243,0.2537313432835821
weighted_w1_0.5_w2_0.5_level_2_generic_separated.json,0.095,1.565,0.97,0.21
weighted_w1_0.5_w2_0.5_level_30_generic_separated.json,0.08,2.16,0.97,0.195
weighted_w1_0.5_w2_0.5_level_31_generic_separated.json,0.115,2.145,0.965,0.215
weighted_w1_0.5_w2_0.5_level_32_generic_separated.json,0.0975,2.495,0.925,0.235
weighted_w1_0.5_w2_0.5_level_33_generic_separated.json,0.1475,2.29,0.945,0.235
weighted_w1_0.5_w2_0.5_level_34_generic_separated.json,0.07,2.365,0.96,0.175
weighted_w1_0.5_w2_0.5_level_35_generic_separated.json,0.1475,1.695,0.975,0.2
weighted_w1_0.5_w2_0.5_level_36_generic_separated.json,0.1225,2.555,0.945,0.24
weighted_w1_0.5_w2_0.5_level_37_generic_separated.json,0.145,1.895,0.97,0.225
weighted_w1_0.5_w2_0.5_level_38_generic_separated.json,0.125,1.56,0.955,0.2
weighted_w1_0.5_w2_0.5_level_39_generic_separated.json,0.1675,1.265,0.98,0.175
weighted_w1_0.5_w2_0.5_level_3_generic_separated.json,0.1,3.25,0.985,0.205
weighted_w1_0.5_w2_0.5_level_40_generic_separated.json,0.165,1.95,0.98,0.255
weighted_w1_0.5_w2_0.5_level_41_generic_separated.json,0.1375,3.09,0.95,0.23
weighted_w1_0.5_w2_0.5_level_42_generic_separated.json,0.09,1.97,0.975,0.19
weighted_w1_0.5_w2_0.5_level_43_generic_separated.json,0.165,1.575,0.97,0.225
weighted_w1_0.5_w2_0.5_level_44_generic_separated.json,0.1575,2.21,0.96,0.24
weighted_w1_0.5_w2_0.5_level_45_generic_separated.json,0.1275,2.055,0.965,0.245
weighted_w1_0.5_w2_0.5_level_46_generic_separated.json,0.135,1.365,0.985,0.155
weighted_w1_0.5_w2_0.5_level_47_generic_separated.json,0.1375,2.155,0.97,0.235
weighted_w1_0.5_w2_0.5_level_48_generic_separated.json,0.12,1.605,0.975,0.16
weighted_w1_0.5_w2_0.5_level_49_generic_separated.json,0.1825,1.23,0.96,0.16
weighted_w1_0.5_w2_0.5_level_4_generic_separated.json,0.16,2.145,1.0,0.22
weighted_w1_0.5_w2_0.5_level_50_generic_separated.json,0.1125,2.025,0.97,0.185
weighted_w1_0.5_w2_0.5_level_51_generic_separated.json,0.1275,1.915,0.99,0.21
weighted_w1_0.5_w2_0.5_level_52_generic_separated.json,0.1625,1.96,0.975,0.235
weighted_w1_0.5_w2_0.5_level_53_generic_separated.json,0.14,2.515,0.97,0.285
weighted_w1_0.5_w2_0.5_level_54_generic_separated.json,0.0925,1.825,0.97,0.155
weighted_w1_0.5_w2_0.5_level_55_generic_separated.json,0.135,1.955,0.98,0.205
weighted_w1_0.5_w2_0.5_level_56_generic_separated.json,0.0925,2.3,0.965,0.265
weighted_w1_0.5_w2_0.5_level_57_generic_separated.json,0.17,2.005,0.965,0.235
weighted_w1_0.5_w2_0.5_level_58_generic_separated.json,0.1075,2.3,0.955,0.275
weighted_w1_0.5_w2_0.5_level_59_generic_separated.json,0.15,2.155,0.945,0.19
weighted_w1_0.5_w2_0.5_level_5_generic_separated.json,0.1775,1.75,0.98,0.19
weighted_w1_0.5_w2_0.5_level_60_generic_separated.json,0.165,1.835,0.945,0.23
weighted_w1_0.5_w2_0.5_level_61_generic_separated.json,0.095,2.54,0.955,0.22
weighted_w1_0.5_w2_0.5_level_62_generic_separated.json,0.1875,1.93,0.965,0.23
weighted_w1_0.5_w2_0.5_level_63_generic_separated.json,0.105,2.69,0.97,0.215
weighted_w1_0.5_w2_0.5_level_64_generic_separated.json,0.09,2.99,0.945,0.195
weighted_w1_0.5_w2_0.5_level_65_generic_separated.json,0.1025,2.815,0.97,0.285
weighted_w1_0.5_w2_0.5_level_66_generic_separated.json,0.11,2.09,0.95,0.2
weighted_w1_0.5_w2_0.5_level_67_generic_separated.json,0.1175,2.055,0.96,0.3
